Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bai Chongxi;53700;U66;1936;1936;1936;1936;3;7;0;2;0;5;2;L50000;1936;1990;1999;x
Zhang Zhen;53701;U66;1936;1936;1936;1936;3;7;0;1;0;5;1;L50001;1936;1990;1999;x
Zhang Zhenn;53702;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50002;1936;1990;1999;x
Zhang Chi;53703;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50003;1936;1990;1999;x
Zhang Zhizhong;53704;U66;1936;1936;1936;1990;3;7;0;1;0;5;0;L50004;1936;1990;1999;x
Chang Enduo;53705;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50005;1936;1990;1999;x
Zhang Fakui;53706;U66;1936;1936;1990;1990;3;7;0;0;0;5;2;L50006;1936;1990;1999;x
Zhang Fang;53707;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50007;1936;1990;1999;x
Zhang Xuxing;53708;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50008;1936;1990;1999;x
Zhang Xuzi;53709;U66;1936;1990;1990;1990;3;7;0;2;0;5;1;L50009;1936;1990;1999;x
Zhang Xuezhong;53710;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50010;1936;1990;1999;x
Zhang Xueliang;53711;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50011;1936;1990;1999;x
Zhang Gan;53712;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50012;1936;1990;1999;x
Zhang Kexia;53713;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50013;1936;1990;1999;x
Zhang Lingfu;53714;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50014;1936;1990;1999;x
Zhang Shixi;53715;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50015;1936;1990;1999;x
Zhang Zizhong;53716;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50016;1936;1990;1999;x
Zhang Dulun;53717;U66;1936;1936;1936;1936;3;7;0;1;0;5;0;L50017;1936;1990;1999;x
Zhang Yan;53718;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50018;1936;1990;1999;x
Zhang Yaoming;53719;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50019;1936;1990;1999;x
Zhang Yinwu;53720;U66;1936;1990;1990;1990;3;7;0;1;0;5;1;L50020;1936;1990;1999;x
Zhao Chengshou;53721;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50021;1936;1990;1999;x
Zhao Jiaxiang;53722;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50022;1936;1990;1999;x
Zhao Xizhang;53723;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50023;1936;1990;1999;x
Zhao Hong Wenguo;53724;U66;1936;1936;1936;1990;3;7;0;0;0;5;2;L50024;1936;1990;1999;x
Zhao Guoping;53725;U66;1936;1936;1936;1990;3;7;0;2;0;5;1;L50025;1936;1990;1999;x
Zhao Shoushan;53726;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50026;1936;1990;1999;x
Zhao Dengyu;53727;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50027;1936;1990;1999;x
Chen Anbao;53728;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50028;1936;1990;1999;x
Chen Changjie;53729;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50029;1936;1990;1999;x
Chen Cheng;53730;U66;1936;1990;1990;1990;3;7;0;2;0;5;1;L50030;1936;1990;1999;x
Chen Jitang;53731;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50031;1936;1990;1999;x
Chen Jihuan;53732;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50032;1936;1990;1999;x
Chen Gongxia;53733;U66;1936;1936;1936;1936;3;7;0;0;0;5;0;L50033;1936;1990;1999;x
Chen Mingren;53734;U66;1936;1936;1936;1936;3;7;0;1;0;5;1;L50034;1936;1990;1999;x
Chen Daqing;53735;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50035;1936;1990;1999;x
Chen Tie;53736;U66;1936;1936;1936;1990;3;7;0;2;0;5;0;L50036;1936;1990;1999;x
Chen Wanren;53737;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50037;1936;1990;1999;x
Chen Wenqi;53738;U66;1936;1936;1936;1990;3;7;0;1;0;5;0;L50038;1936;1990;1999;x
Zheng Tingzhen;53739;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50039;1936;1990;1999;x
Zheng Tingji;53740;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50040;1936;1990;1999;x
Cheng Qian;53741;U66;1936;1936;1990;1990;3;7;0;1;0;5;2;L50041;1936;1990;1999;x
Zheng Zuomin;53742;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50042;1936;1990;1999;x
Zheng Dongguo;53743;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50043;1936;1990;1999;x
Ji Zhangjian;53744;U66;1936;1936;1936;1990;3;7;0;1;0;5;1;L50044;1936;1990;1999;x
Ji Xingwen;53745;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50045;1936;1990;1999;x
Qi Xueqi;53746;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50046;1936;1990;1999;x
Jiang Zhiying;53747;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50047;1936;1990;1999;x
Jiang Guangnai;53748;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50049;1936;1990;1999;x
Jiang Dingwen;53749;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50050;1936;1990;1999;x
Jiang Yuzhen;53750;U66;1936;1936;1936;1936;3;7;0;1;0;5;0;L50051;1936;1990;1999;x
Jie Fang;53751;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50052;1936;1990;1999;x
Chih Fengcheng;53752;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50053;1936;1990;1999;x
Qin Yizhi;53753;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50054;1936;1990;1999;x
Zhou Jiabin;53754;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50055;1936;1990;1999;x
Zhou Zhidao;53755;U66;1936;1936;1936;1990;3;7;0;1;0;5;0;L50056;1936;1990;1999;x
Zhou Qingxiang;53756;U66;1936;1990;1990;1990;3;7;0;2;0;5;1;L50057;1936;1990;1999;x
Zhou Fu;53757;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50058;1936;1990;1999;x
Zhou FU66eng;53758;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50059;1936;1990;1999;x
Zhou Lan;53759;U66;1936;1936;1936;1990;3;7;0;2;0;5;1;L50060;1936;1990;1999;x
Zhou Yan;53760;U66;1936;1936;1990;1990;3;7;0;0;0;5;2;L50061;1936;1990;1999;x
Zhu Zhiyi;53761;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50062;1936;1990;1999;x
Zhu Chi;53762;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50063;1936;1990;1999;x
Zhu Huaibing;53763;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50064;1936;1990;1999;x 
Zhu Shaozhou;53764;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50065;1936;1990;1999;x
Zhu Shaoliang;53765;U66;1936;1990;1990;1990;3;7;0;0;0;5;2;L50066;1936;1990;1999;x
Zhu Dingqing;53766;U66;1936;1936;1936;1936;3;7;0;2;0;5;1;L50067;1936;1990;1999;x
Zhu Qi;53767;U66;1936;1936;1936;1990;3;7;0;0;0;5;1;L50068;1936;1990;1999;x
Qiu Qingquan;53768;U66;1936;1936;1936;1990;3;7;0;1;0;5;0;L50069;1936;1990;1999;x
Qiu Kaiji;53769;U66;1936;1936;1936;1936;3;7;0;1;0;5;0;L50070;1936;1990;1999;x
Zhong Song;53770;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50071;1936;1990;1999;x
Zhong Yi;53771;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50072;1936;1990;1999;x
Daljaya;53772;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50073;1936;1990;1999;x
Fan Hanjie;53773;U66;1936;1936;1990;1990;3;7;0;1;0;5;1;L50074;1936;1990;1999;x
Fang Jing;53774;U66;1936;1936;1990;1990;3;7;0;0;0;5;2;L50075;1936;1990;1999;x
Fang Xianjue;53775;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50076;1936;1990;1999;x
Fang Shuhong;53776;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50077;1936;1990;1999;x
Fang Tian;53777;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50078;1936;1990;1999;x
Feng Anbang;53778;U66;1936;1936;1990;1990;3;7;0;2;0;5;0;L50079;1936;1990;1999;x
Feng Zhian;53779;U66;1936;1936;1990;1990;3;7;0;1;0;5;1;L50080;1936;1990;1999;x
Feng Shengfa;53780;U66;1936;1936;1990;1990;3;7;0;0;0;5;2;L50081;1936;1990;1999;x
Feng Qinzai;53781;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50082;1936;1990;1999;x
Feng Yuxiang;53782;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50083;1936;1990;1999;x
Fu Bingxun;53783;U66;1936;1936;1936;1990;3;7;0;0;0;5;1;L50084;1936;1990;1999;x
Fu Zuoyi;53784;U66;1936;1936;1936;1990;3;7;0;2;0;5;0;L50085;1936;1990;1999;x
Han Jun;53785;U66;1936;1936;1936;1990;3;7;0;1;0;5;0;L50086;1936;1990;1999;x
Han Fuqu;53786;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50087;1936;1990;1999;x
Han Liancheng;53787;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50088;1936;1990;1999;x
Hao Menglin;53788;U66;1936;1936;1936;1990;3;7;0;1;0;5;2;L50089;1936;1990;1999;x
He Jifeng;53789;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50090;1936;1990;1999;x
He Zhuguo;53790;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50091;1936;1990;1999;x
He Guoguang;53791;U66;1936;1990;1990;1990;3;7;0;1;0;5;1;L50092;1936;1990;1999;x
He Shaozhou;53792;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50093;1936;1990;1999;x
He Weizhen;53793;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50094;1936;1990;1999;x
He Wending;53794;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50095;1936;1990;1999;x
He Yaozu;53795;U66;1936;1936;1936;1990;3;7;0;0;0;5;1;L50096;1936;1990;1999;x
He Yingqin;53796;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50097;1936;1990;1999;x
Hou Jingru;53797;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50098;1936;1990;1999;x
Xia Chuzhong;53798;U66;1936;1936;1990;1990;3;7;0;2;0;5;1;L50099;1936;1990;1999;x
Xia Guozhang;53799;U66;1936;1990;1990;1990;3;7;0;2;0;5;2;L50100;1936;1990;1999;x
Xia Wei;53800;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50101;1936;1990;1999;x
Xiang Fengwu;53801;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50102;1936;1990;1999;x
Xiao Jimian;53802;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50103;1936;1990;1999;x
Xiao Zhichu;53803;U66;1936;1990;1990;1990;3;7;0;1;0;5;1;L50104;1936;1990;1999;x
Xiao Yisu;53804;U66;1936;1936;1936;1936;3;7;0;0;0;5;0;L50105;1936;1990;1999;x
Xu Jizhang;53805;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50106;1936;1990;1999;x
Xu Jingtang;53806;U66;1936;1936;1936;1990;3;7;0;2;0;5;2;L50107;1936;1990;1999;x
Xu RU66eng;53807;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50108;1936;1990;1999;x
Xu Guozhang;53808;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50109;1936;1990;1999;x
Xu Tingyao;53809;U66;1936;1936;1990;1990;3;7;0;0;0;5;1;L50110;1936;1990;1999;x
Xu Zuyi;53810;U66;1936;1936;1990;1990;3;7;0;1;0;5;0;L50111;1936;1990;1999;x
Xu Yuanquan;53811;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50112;1936;1990;1999;x
Xu Yongchang;53812;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50113;1936;1990;1999;x
Xuan Tiewu;53813;U66;1936;1936;1936;1936;3;7;0;1;0;5;2;L50114;1936;1990;1999;x
Xue Yue;53814;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50115;1936;1990;1999;x
Hu Changqing;53815;U66;1936;1936;1936;1990;3;7;0;0;0;5;0;L50116;1936;1990;1999;x
Hu Xianmei;53816;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50117;1936;1990;1999;x
Hu Yibin;53817;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50118;1936;1990;1999;x
Hu Ruoyu;53818;U66;1936;1990;1990;1990;3;7;0;2;0;5;0;L50119;1936;1990;1999;x
Hu Lian;53819;U66;1936;1936;1936;1990;3;7;0;1;0;5;1;L50120;1936;1990;1999;x
Hu Su;53820;U66;1936;1936;1990;1990;3;7;0;2;0;5;2;L50121;1936;1990;1999;x
Hu Zongnan;53821;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50122;1936;1990;1999;x
Hu Ying;53822;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50123;1936;1990;1999;x
Huang Zhenwu;53823;U66;1936;1990;1990;1990;3;7;0;0;0;5;1;L50124;1936;1990;1999;x
Huang Jie;53824;U66;1936;1990;1990;1990;3;7;0;1;0;5;0;L50125;1936;1990;1999;x
Huang Qixiang;53825;U66;1936;1990;1990;1990;3;7;0;0;0;5;0;L50126;1936;1990;1999;x
Huang Xiansheng;53826;U66;1936;1936;1990;1990;3;7;0;2;0;5;1;L50127;1936;1990;1999;x
Huang Guoliang;53827;U66;1936;1936;1990;1990;3;7;0;0;0;5;0;L50128;1936;1990;1999;x
