Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afkhami  A.;440700;UPE;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;1999;x
Afkhami  H.;440701;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;1999;x
Afkhami  M.;440702;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;1999;x
Gharamani;440703;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;1999;x
Gholam Reza Pahlavi;440704;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;1999;x
Gilanshah;440705;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;1999;x
Hadi Atabay;440706;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;1999;x
Hossein Firooz;440707;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;1999;x
Majid Firooz;440708;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;1999;x
Khan Koopal;440709;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;1999;x
Khan Nakziam;440710;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;1999;x
Mir Ghani;440711;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;1999;x
Mizani;440712;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;1999;x
Nakhjavani;440713;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;1999;x
Nizamshah;440714;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;1999;x
Quaranshah;440715;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;1999;x
Reza Pahlavi;440716;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;1999;x
Sepahbodi Qajar;440717;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L440017;1936;1990;1999;x
Zahedi;440718;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440018;1936;1990;1999;x
Ahmanpur;440719;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440019;1936;1990;1999;x
Akbarpour;440720;UPE;1936;1990;1990;1990;3;7;0;1;0;5;1;L440020;1936;1990;1999;x
Khan Nakhjavan;440721;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440029;1936;1990;1999;x
Khisrabadi;440722;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440022;1936;1990;1999;x
Khosravani;440723;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440023;1936;1990;1999;x
Mizani;440724;UPE;1936;1936;1936;1990;3;7;0;0;0;5;2;L440024;1936;1990;1999;x
Mohanna;440725;UPE;1936;1936;1936;1990;3;7;0;2;0;5;1;L440025;1936;1990;1999;x
Dratsenko;440726;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L500120;1936;1990;1999;x
von der Schulenburg;440727;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L524020;1936;1990;1999;x
Khan Koopal;440728;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440028;1936;1990;1999;x
Kamalyan;440729;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M516010;1936;1990;1999;x
Khosravani;440730;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440030;1936;1990;1999;x
Mohanna;440731;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440031;1936;1990;1999;x
Moini;440732;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440032;1936;1990;1999;x
von Hösslin;440733;UPE;1936;1936;1936;1936;3;7;0;0;0;5;0;L520028;1936;1990;1999;x
Sepahpour;440734;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440034;1936;1990;1999;x
Noodin;440735;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440035;1936;1990;1999;x
Ghoolam Firooz;440736;UPE;1936;1936;1936;1990;3;7;0;2;0;5;0;L440036;1936;1990;1999;x
Baypour;440737;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440037;1936;1990;1999;x
Nizampour;440738;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440038;1936;1990;1999;x
Mirghoolam;440739;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440039;1936;1990;1999;x
Tahakhami;440740;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440040;1936;1990;1999;x
Razmara;440741;UPE;1936;1936;1990;1990;3;7;0;1;0;5;2;M53114;1936;1990;1999;x
Asadorian;440742;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515000;1936;1990;1999;x
Babajanian;440743;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;M515024;1936;1990;1999;x
Baghramyan;440744;UPE;1936;1936;1936;1990;3;7;0;1;0;5;1;L515002;1936;1990;1999;x
Feyerabend;440745;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L515003;1936;1990;1999;x
Hoffmann;440746;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;M515007;1936;1990;1999;x
Kalaydjian;440747;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L515005;1936;1990;1999;x
Kanyan;440748;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L515006;1936;1990;1999;x
Kardashian;440749;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L515007;1936;1990;1999;x
Khachatrian;440750;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L515008;1936;1990;1999;x
Nzdek;440751;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;M515017;1936;1990;1999;x
Osanian;440752;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;M515008;1936;1990;1999;x
Osebian;440753;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;M515021;1936;1990;1999;x
Razmik;440754;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L515012;1936;1990;1999;x
Rubene;440755;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L515013;1936;1990;1999;x
Safaryan;440756;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L515014;1936;1990;1999;x
Seviahian;440757;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515015;1936;1990;1999;x
von Gablenz;440758;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515016;1936;1990;1999;x
von Germar;440759;UPE;1936;1936;1936;1990;3;7;0;2;0;5;1;L515017;1936;1990;1999;x
von Hörauf;440760;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L515018;1936;1990;1999;x
Yessayan;440761;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515019;1936;1990;1999;x
Betche;440762;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M515009;1936;1990;1999;x
Gadow;440763;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L515021;1936;1990;1999;x 
Isahakian;440764;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M515026;1936;1990;1999;x
Rubene;440765;UPE;1936;1990;1990;1990;3;7;0;0;0;5;2;L515013;1936;1990;1999;x
Witthöft-Emden;440766;UPE;1936;1936;1936;1936;3;7;0;2;0;5;1;L515024;1936;1990;1999;x
Agazarian;440767;UPE;1936;1936;1936;1990;3;7;0;0;0;5;1;M515006;1936;1990;1999;x
Gotthard;440768;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L515026;1936;1990;1999;x
Hasse;440769;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L515027;1936;1990;1999;x
Höfert;440770;UPE;1936;1990;1990;1990;3;7;0;0;0;5;1;L515028;1936;1990;1999;x
Klein;440771;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;M515010;1936;1990;1999;x
von Gablenz;440772;UPE;1936;1990;1990;1990;3;7;0;0;0;5;1;L515016;1936;1990;1999;x
Asbulatam;440773;UPE;1936;1936;1990;1990;3;7;0;1;0;5;1;L516000;1936;1990;1999;x
Baer;440774;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L516001;1936;1990;1999;x
Berköz;440775;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;M516007;1936;1990;1999;x
Büsing;440776;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L516003;1936;1990;1999;x
Dhambulatov;440777;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L516004;1936;1990;1999;x
Gallas;440778;UPE;1936;1936;1990;1990;3;7;0;2;0;5;0;L516005;1936;1990;1999;x
Gasparyan;440779;UPE;1936;1936;1990;1990;3;7;0;1;0;5;1;M516033;1936;1990;1999;x
Herold;440780;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L516007;1936;1990;1999;x
Jumshu Kasparov;440781;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L516008;1936;1990;1999;x
Kalzhin;440782;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L516009;1936;1990;1999;x
Kamalyan;440783;UPE;1936;1936;1936;1990;3;7;0;0;0;5;1;unknown;1936;1990;1999;x
Kazaryan;440784;UPE;1936;1936;1936;1990;3;7;0;2;0;5;0;L516011;1936;1990;1999;x
Khamfertsyan;440785;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L516012;1936;1990;1999;x
Khosrov Ebk;440786;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;M516028;1936;1990;1999;x
Makhov;440787;UPE;1936;1990;1990;1990;3;7;0;0;0;5;1;M516035;1936;1990;1999;x
Nakhjavani;440788;UPE;1936;1936;1936;1990;3;7;0;1;0;5;2;L440033;1936;1990;1999;x
Mehmandarov;440789;UPE;1936;1990;1990;1990;3;7;0;0;0;5;1;M516030;1936;1990;1999;x
Müller-Kahle;440790;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L516017;1936;1990;1999;x
Tereschenko;440791;UPE;1936;1990;1990;1990;3;7;0;1;0;5;1;L516018;1936;1990;1999;x
Thamzhakhalam;440792;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L516019;1936;1990;1999;x
Vezirov;440793;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L516020;1936;1990;1999;x
von Bothmer;440794;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L516021;1936;1990;1999;x
von Dawans;440795;UPE;1936;1936;1936;1990;3;7;0;0;0;5;1;L516022;1936;1990;1999;x
Weese;440796;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L516023;1936;1990;1999;x
Krasnoshapka;440797;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M516009;1936;1990;1999;x
Baturin;440798;UPE;1936;1936;1990;1990;3;7;0;2;0;5;1;M525010;1936;1990;1999;x
Pfeiffer;440799;UPE;1936;1990;1990;1990;3;7;0;2;0;5;2;L516026;1936;1990;1999;x
Punt;440800;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L516027;1936;1990;1999;x
