Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Sun Chuanfang;502000;CGX;1930;1990;1990;1990;0;4;4352;3;0;5;0;Sun Chuanfang;1930;1960;1999;x
Chen Yi;502001;CGX;1930;1930;1930;1938;1;2;513;3;0;1;0;Chen Yi;1930;1944;1999;x
Cheng Xixian;502002;CGX;1930;1990;1990;1990;1;2;0;0;0;5;0;Cheng Xixian;1930;1960;1999;x
Du Xijun;502004;CGX;1930;1939;1941;1944;1;4;4;3;0;4;0;Du Xijun;1930;1960;1999;x
Gao Guanwu;502005;CGX;1930;1930;1990;1990;2;2;0;0;0;5;0;Gao Guanwu;1930;1960;1999;x
Guo Weimin;502006;CGX;1930;1939;1941;1990;1;4;16;2;0;3;0;Guo Weimin;1930;1960;1999;x
Guo Zhen;502007;CGX;1930;1930;1990;1990;2;2;4;0;0;4;0;Guo Zhen;1930;1960;1999;x
Hao Pengju;502008;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;Hao Pengju;1930;1960;1999;x
Tian Wenbing;502009;CGX;1930;1942;1990;1990;3;3;0;1;0;5;0;L50214;1930;1960;1999;x
Ren Yuandao;502010;CGX;1930;1939;1990;1990;2;2;0;1;0;4;0;Ren Yuandao;1930;1960;1999;x
Wang Jinyu;502019;CGX;1930;1930;1990;1990;2;4;2;0;0;5;0;Wang Jinyu;1930;1940;1999;x
Wang Yaohuang;502020;CGX;1940;1940;1990;1990;2;4;516;1;0;5;0;Wang Yaohuang;1940;1944;1999;x
Wang Yongquan;502021;CGX;1930;1930;1990;1990;2;4;18;1;0;5;0;Wang Yongquan;1930;1960;1999;x
Xia Douyin;502022;CGX;1930;1940;1946;1950;2;2;516;1;0;5;0;Xia_Douyin_LEP;1930;1960;1999;x
Xiang Zhizhuang;502026;CGX;1930;1930;1930;1944;1;6;34;3;70;5;0;Xiang Zhizhuang;1930;1960;1999;x
Xiao Shuxuan;502027;CGX;1930;1930;1945;1990;2;6;5;3;40;5;0;Xiao Shuxuan;1930;1960;1999;x
von Mücke;502028;CGX;1930;1930;1930;1940;0;6;0;3;20;5;1;Kaiserreich vonMucke;1930;1960;1999;x
von Falkenhausen;502029;CGX;1930;1930;1930;1930;0;7;68;3;35;4;0;L50304;1930;1960;1999;x
Fröhlich;502031;CGX;1936;1940;1945;1990;1;6;32768;3;0;5;2;L913;1936;1960;1999;x
von Tscherwelen;502033;CGX;1936;1990;1990;1990;3;7;4;1;0;4;0;L250020;1936;1960;1999;x
Dürrstein;502034;CGX;1930;1990;1990;1990;3;3;0;1;0;5;0;L508020;1930;1960;1999;x
Hufenbach;502035;CGX;1930;1960;1990;1990;3;4;2;0;0;5;0;L508032;1930;1960;1999;x
Hundt;502036;CGX;1930;1943;1990;1990;2;5;128;1;0;5;0;L508033;1930;1960;1999;x
Nobe;502037;CGX;1930;1938;1990;1990;2;4;4096;1;0;5;1;L508061;1930;1960;1999;x
Rasmus;502038;CGX;1930;1990;1990;1990;3;4;0;0;0;5;1;L508062;1930;1960;1999;x
Schall-Emden;502039;CGX;1939;1943;1990;1990;2;4;4096;1;0;5;1;L508063;1939;1960;1999;x
Scheurlen;502040;CGX;1940;1944;1990;1990;2;4;2048;1;0;5;1;L508064;1940;1947;1999;x
Schmidt  A.;502041;CGX;1937;1990;1990;1990;3;4;8192;0;0;5;1;L508065;1937;1960;1999;x
Schmidt  F.T.;502042;CGX;1930;1990;1990;1990;3;4;0;0;0;5;1;L508066;1930;1960;1999;x
Bärens;502043;CGX;1940;1990;1990;1990;3;4;0;0;0;5;2;L508068;1940;1960;1999;x
Diesling;502044;CGX;1930;1990;1990;1990;3;4;16384;0;0;5;2;L508071;1930;1960;1999;x
Erdmann;502045;CGX;1930;1944;1990;1990;2;5;4096;1;0;5;2;L508073;1930;1960;1999;x
Lorenz;502046;CGX;1940;1990;1990;1990;3;4;0;2;0;5;2;L508078;1940;1960;1999;x
Maier;502047;CGX;1939;1990;1990;1990;3;4;16384;0;0;5;2;L508079;1939;1960;1999;x
von Löwenstern;502048;CGX;1930;1990;1990;1990;3;4;0;0;0;5;2;L508084;1939;1947;1999;x
Xie Hongxun;502049;CGX;1930;1930;1943;1990;1;4;1;2;0;5;0;Xie Hongxun;1930;1960;1999;x
Yang Kuiyi;502050;CGX;1930;1930;1938;1990;1;6;516;1;0;3;0;Yang Kuiyi;1930;1960;1999;x
Ye Peng;502051;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;Ye Peng;1930;1960;1999;x
Zhang Renkui;502052;CGX;1930;1990;1989;1990;3;4;0;0;0;4;0;Zhang Renkui;1930;1960;1999;x
Zhang Zhaiyang;502053;CGX;1940;1990;1990;1990;3;3;0;0;0;4;0;Zhang Zhaiyang;1940;1960;1999;x
Zheng Junyan;502054;CGX;1930;1990;1990;1990;3;4;514;1;0;4;0;Zheng Junyan;1930;1960;1999;x
Zhou Yinren;502055;CGX;1944;1946;1990;1990;2;4;0;1;0;4;0;Zhou Yinren;1944;1960;1999;x
Zhu Huaibing;502056;CGX;1930;1930;1990;1990;2;3;0;1;0;4;0;Zhu Huaibing;1930;1960;1999;x
Shangguan Yunxiang;502060;CGX;1930;1930;1990;1990;1;4;0;1;0;4;0;Shangguan_Yunxiang;1930;1960;1999;x
Chen Tiaoyuan;502061;CGX;1930;1930;1990;1990;1;6;0;1;0;4;0;Chen_Tiaoyuan;1930;1960;1999;x
Feng Ru;502059;CGX;1930;1990;1990;1990;3;6;8192;2;0;3;2;M750060;1930;1960;1999;x
Qi Xieyuan;502062;CGX;1930;1990;1990;1990;3;6;5;2;0;6;0;Qi Xieyuan General;1930;1960;1999;x
