Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belchurkin;502301;U74;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1960;1999;x
Fu Zuoyi;502302;U74;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1960;1999;x
Kernichek;502303;U74;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1960;1999;x
Li Fuying;502304;U74;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1960;1999;x
Peng Ziqin;502305;U74;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1960;1999;x
Rudin;502306;U74;1930;1990;1990;1990;3;2;128;0;0;5;0;L503005;1930;1960;1999;x
Rymakov;502307;U74;1930;1990;1990;1990;3;2;256;0;0;5;0;L503006;1930;1960;1999;x
Shang Zhen;502308;U74;1930;1938;1990;1990;3;2;1;1;0;5;0;L503007;1930;1960;1999;x
Shi Zibo;502309;U74;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1960;1999;x
Dong Qiwu;502310;U74;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1960;1999;x
Wang Jingguo;502311;U74;1930;1930;1990;1990;2;2;2;0;0;3;0;L50314;1930;1943;1999;x
Yan Xishan;502312;U74;1930;1930;1938;1940;0;3;2;2;0;5;0;948;1930;1960;1999;x
Krolcheff;502313;U74;1930;1930;1990;1990;2;2;0;0;0;5;1;L503012;1930;1960;1999;x
Rymakov;502314;U74;1930;1990;1990;1990;3;2;0;0;0;5;1;L503006;1930;1960;1999;x
Yan Xishan;502315;U74;1930;1930;1938;1990;1;2;0;1;0;5;1;948;1930;1960;1999;x
Groszchivili;502316;U74;1930;1939;1990;1990;2;2;0;1;0;5;2;L503015;1930;1960;1999;x
Piryakin;502317;U74;1930;1990;1990;1990;3;2;4096;0;0;5;2;L503016;1930;1960;1999;x
Yan Xishan;502318;U74;1930;1930;1938;1990;1;2;0;1;0;5;2;948;1930;1960;1999;x
Deng Yugui;502319;U74;1931;1943;1990;1990;3;2;0;1;0;4;0;unknownleader;1931;1967;1999;x
Feng Pengzhu;502320;U74;1929;1932;1990;1990;2;2;0;1;0;4;0;unknownleader;1929;1944;1999;x
Hou Shouchang;502321;U74;1931;1937;1990;1990;2;2;0;1;0;4;0;unknownleader;1931;1968;1999;x
Huo Yuanbi;502322;U74;1929;1937;1990;1990;3;2;0;0;0;4;0;unknownleader;1929;1959;1999;x
Kong Lingxun;502323;U74;1931;1937;1990;1990;2;3;0;1;0;4;0;6302;1931;1955;1999;x
Kong Lingxun;502324;U74;1937;1990;1990;1990;2;2;0;1;0;4;2;6302;1937;1955;1999;x
