Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Liu Hsien-Shih;501028;CYN;1910;1935;1935;1935;3;5;131076;1;0;5;0;unknown;1908;1935;1999;x
An Enpu;501000;CYN;1930;1990;1990;1990;3;3;256;1;0;5;0;An Enpu;1930;1960;1999;x
Bai Huizhang;501001;CYN;1930;1930;1930;1990;2;3;0;2;0;5;0;Bai Huizhang;1930;1960;1999;x
Chen Zhongshu;501002;CYN;1930;1990;1990;1990;3;3;512;1;0;5;0;Chen Zhongshu;1930;1960;1999;x
Fan Shisheng;501003;CYN;1930;1990;1990;1990;1;4;5;2;0;5;0;Fan Shisheng;1930;1960;1999;x
Gao Yinhuai;501004;CYN;1930;1938;1990;1990;2;5;2;1;0;2;0;Gao Yinhuai;1930;1960;1999;x
Lu Han;501005;CYN;1930;1930;1990;1990;1;4;2;2;0;3;0;M750055;1930;1960;1999;x
Long Yun;501006;CYN;1930;1930;1930;1990;1;4;16;2;0;2;0;L50232;1930;1960;1999;x
He Zhizhong;501008;CYN;1930;1930;1990;1990;2;3;256;1;0;5;0;He Zhizhong;1930;1960;1999;x
Hu Ruoyu;501009;CYN;1930;1930;1990;1990;1;4;1;1;0;5;0;CYN_hu;1930;1960;1999;x
Liu Peiquan;501015;CYN;1930;1990;1990;1990;3;2;0;2;0;5;2;Liu Peiquan;1930;1960;1999;x
Lu Han;501016;CYN;1930;1930;1990;1990;2;3;0;1;0;3;2;L50228;1930;1943;1999;x
Yan Yuncong;501017;CYN;1930;1990;1990;1990;3;2;0;2;0;5;2;Yan Yuncong;1930;1960;1999;x
Zhang Chong;501067;CYN;1930;1990;1990;1990;2;2;0;1;0;5;1;Zhang Chong;1930;1960;1999;x
Lu Han;501068;CYN;1930;1990;1990;1990;2;1;0;1;0;5;1;L50228;1930;1960;1999;x
Hu Ying;501018;CYN;1930;1930;1990;1990;2;4;514;1;0;5;0;Hu Ying;1930;1960;1999;x
Huang Yucheng;501019;CYN;1930;1930;1990;1990;3;2;0;1;0;5;0;Huang Yucheng;1930;1960;1999;x
Jin Handing;501034;CYN;1930;1930;1990;1990;1;4;514;1;0;5;0;Jin Handing;1930;1960;1999;x
Li Zonghuang;501036;CYN;1930;1930;1990;1990;1;2;512;1;0;5;0;Li Zonghuang;1930;1960;1999;x
Long Zehui;501037;CYN;1930;1930;1990;1990;1;2;0;1;0;5;0;Long Zehui;1930;1960;1999;x
Lu Daoyuan;501038;CYN;1930;1930;1990;1990;2;3;0;2;0;5;0;Lu Daoyuan;1930;1960;1999;x
Lu Yafu;501039;CYN;1930;1930;1990;1990;3;2;0;1;0;5;0;Lu Yafu;1930;1960;1999;x
Lu Junquan;501040;CYN;1930;1930;1990;1990;3;2;0;1;0;5;0;Lu Junquan;1930;1960;1999;x
Luo Binghui;501041;CYN;1930;1930;1990;1990;1;5;257;3;0;5;0;Luo Binghui;1930;1960;1999;x
Liu Bolong;501070;CYN;1930;1930;1990;1990;1;3;524288;1;0;5;0;Liu Bolong;1930;1960;1999;x
