U67;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;;;x
1150001;Head of State;Cheng Qian;1936;1964;1999;SD;Resigned Generalissimo;High;CHICheng Qian;X
1150002;Head of Government;Cheng Qian;1936;1964;1999;SD;Old General;Medium;CHICheng Qian;X
1150003;Foreign Minister;Zhang Guotao;1936;1964;1999;SC;Biased Intellectual;Medium;2337;X
1150004;Minister of Armament;Cai Hesen;1936;1964;1999;SC;Administrative Genius;Medium;8621;X
1150005;Minister of Security;Lin Boqu;1936;1964;1999;SC;Compassionate Gentleman;High;9226;X
1150006;Head of Military Intelligence;Zhang Guotao;1936;1964;1999;SC;Political Specialist;Medium;2337;X
1150007;Chief of Staff;He Long;1936;1964;1999;SC;School of Manoeuvre;Medium;9219;X
1150008;Chief of Army;Ye Ting;1936;1964;1999;SC;Decisive Battle Doctrine;Medium;9220;X
1150009;Chief of Navy;Under Army Command;1936;1964;1999;PA;decisive naval battle doctrine;Very High;unknownminister;x
1150010;Chief of Air Force;Ye Ting;1936;1964;1999;SC;Carpet Bombing Doctrine;Medium;9220;X
1150011;Head of State;Tang Shengzhi;1936;1964;1999;NS;powerhungry demagogue;High;L50280;x
1150012;Head of Government;Tang Shengzhi;1936;1964;1999;NS;old general;High;L50280;x
