U68;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1055001;Head of State;Xoja Niyaz Haji;1936;1964;1999;FA;Ruthless Powermonger;Very High;3174;X
1055002;Head of Government;Xoja Niyaz Haji;1912;1942;1955;FA;Naive Optimist;Low;3174;X
1055003;Foreign Minister;Isa Yusuf Alptekin;1933;1940;1977;SC;Apologetic Clerk;Low;6849;X
1055004;Minister of Armament;Habibullah Huseinov;1933;1964;1999;PA;Infantry Proponent;Medium;M72004;X
1055005;Minister of Security;Kunimu Khan;1936;1964;1999;SC;Compassionate Gentleman;Very High;M72014;X
1055006;Head of Military Intelligence;Ma Zhongying;1936;1964;1999;PA;Logistics Specialist;High;L153003;X
1055007;Chief of Staff;Ma Zhongying;1936;1964;1999;PA;School of Psychology;High;L153003;X
1055008;Chief of Army;Ma Zhongying;1936;1964;1999;PA;Decisive Battle Doctrine;High;L153003;X
1055009;Chief of Navy;Erich Raeder;1933;1964;1999;NS;Decisive Naval Battle Doctrine;High;2642;X
1055010;Chief of Air Force;Hermann Göring;1933;1964;1999;NS;Army Aviation Doctrine;Very High;2643;X
1055012;Head of State;Ma Zhongying;1936;1964;1999;NS;Resigned Generalissimo;Very High;L153003;X 
1055011;Head of Government;Ma Zhongying;1936;1970;1999;NS;Old General;Very High;L153003;X
